Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
GSTM5	NA	ENSG00000134201	Glutathione S-transferase mu 5	1	109712255-109775428	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA048652, HPA055972, HPA055973	Approved	NA	Approved	Cytokinetic bridge<br>Cytosol	NA	Mixed	Group enriched	6	breast: 845.2;ovary: 221.0	fallopian tube: 84.6	Group enriched	8	fHDF/TERT166: 12.9;HHSteC: 5.7;HSkMC: 5.3	Breast
LGALS7	GAL7, LGALS7A, PIG1, TP53I1	ENSG00000205076	Galectin 7	19	38770971-38773492	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001549, CAB032606	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	6	breast: 18.1;esophagus: 24.3;skin: 27.7	skeletal muscle: 3.6	Cell line enhanced	NA	HaCaT: 6.2;SCLC-21H: 1.2	Breast
SCGB3A1	HIN-1, HIN1, LU105, PnSP-2, UGRP2	ENSG00000161055	Secretoglobin family 3A member 1	5	180590103-180591540	Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Group enriched	Group enriched	6	breast: 125.3;cervix, uterine: 345.8;lung: 301.1;salivary gland: 193.1	stomach: 40.9	Cell line enhanced	NA	NB-4: 1.3	Breast
SDR16C5	EPHD-2, RDH-E2, RDHE2	ENSG00000170786	Short chain dehydrogenase/reductase family 16C member 5	8	56300010-56320776	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA025224	Enhanced	NA	NA	NA	Head and neck cancer:7.88e-4 (favourable)	Mixed	Group enriched	6	breast: 15.2;esophagus: 36.3;lung: 40.3;skin: 72.9;small intestine: 21.7;stomach: 21.0;tonsil: 25.3	cervix, uterine: 5.6	Cell line enhanced	NA	CAPAN-2: 22.6;HaCaT: 11.3;hTCEpi: 15.1;T-47d: 9.2	Breast
STAC2	24b2	ENSG00000141750	SH3 and cysteine rich domain 2	17	39210536-39225872	Predicted intracellular proteins	Evidence at protein level	HPA017288	NA	NA	Approved	Nucleoplasm<br>Vesicles	Endometrial cancer:4.05e-5 (unfavourable), Glioma:5.04e-4 (unfavourable), Ovarian cancer:6.66e-4 (unfavourable)	Group enriched	Group enriched	6	breast: 32.0;cerebral cortex: 30.1;epididymis: 13.8;seminal vesicle: 35.6	skin: 4.5	Cell line enhanced	NA	HeLa: 22.2;hTEC/SVTERT24-B: 4.8;U-87 MG: 14.4	Breast
TTC6	C14orf25, NCRNA00291	ENSG00000139865	Tetratricopeptide repeat domain 6	14	37595847-38041442	Predicted intracellular proteins	Evidence at protein level	HPA069293	NA	NA	Approved	Centrosome	NA	Group enriched	Group enriched	6	breast: 10.5;prostate: 28.3;testis: 10.4	stomach: 2.6	Cell line enhanced	NA	Hep G2: 5.7;MCF7: 9.4;RT4: 6.7;T-47d: 21.4	Breast
AKR1C2	BABP, DD, DD2, DDH2, HAKRD, MCDR2, TDD	ENSG00000151632	Aldo-keto reductase family 1 member C2	10	4987400-5018031	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB047304, HPA068265	Enhanced	NA	Approved	Nucleus<br>Nucleoli fibrillar center<br>Endoplasmic reticulum<br>Cytosol	NA	Group enriched	Group enriched	5	adipose tissue: 330.4;breast: 105.2;esophagus: 94.9;gallbladder: 151.9;liver: 161.4;stomach: 126.5;urinary bladder: 143.0	duodenum: 29.8	Cell line enhanced	NA	A549: 1864.0;ASC diff: 1674.9;Hep G2: 2661.0;RT4: 940.6	Breast
MMP27	NA	ENSG00000137675	Matrix metallopeptidase 27	11	102691487-102705806	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA069097	Approved	NA	NA	NA	NA	Not detected	Group enriched	5	breast: 6.0;skin: 2.8	bone marrow: 0.8	Not detected	NA	NA	Breast
MYEOV	OCIM	ENSG00000172927	Myeloma overexpressed	11	69294138-69367726	Predicted membrane proteins	Evidence at transcript level	HPA012949	Uncertain	NA	Approved	Nucleus<br>Vesicles	Pancreatic cancer:1.54e-7 (unfavourable), Renal cancer:1.48e-5 (unfavourable), Lung cancer:2.00e-4 (unfavourable)	Mixed	Group enriched	5	adipose tissue: 4.0;breast: 5.8;esophagus: 9.2;skin: 1.8;stomach: 6.8	appendix: 1.0	Cell line enhanced	NA	A-431: 154.1;A549: 74.9;U-2 OS: 38.7	Breast
ALOX15B	15-LOX-2	ENSG00000179593	Arachidonate 15-lipoxygenase, type B	17	8039017-8049134	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA010562	Enhanced	NA	Supported	Plasma membrane<br>Cytosol	NA	Expressed in all	Tissue enhanced	NA	breast: 145.0;prostate: 115.3	lung: 26.1	Group enriched	15	HHSteC: 6.5;HSkMC: 11.9;hTCEpi: 25.0	Breast
ALX4	FPP, KIAA1788, PFM, PFM2	ENSG00000052850	ALX homeobox 4	11	44260444-44310166	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001903	NA	NA	Supported	Nucleoplasm	NA	Tissue enhanced	Tissue enhanced	NA	breast: 2.2	endometrium,testis: 1.0	Cell line enhanced	NA	AN3-CA: 3.7;BJ: 2.8;HAP1: 4.8;HEK93: 4.4;HEL: 6.0;K-562: 2.8;SiHa: 7.4	Breast
APCDD1L	FLJ90166	ENSG00000198768	APC down-regulated 1 like	20	58459101-58515131	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA067015	Uncertain	NA	Uncertain	Mitochondria	NA	Mixed	Tissue enhanced	NA	breast: 6.5;salivary gland: 11.6	kidney: 2.9	Cell line enhanced	NA	fHDF/TERT166: 88.4;hTEC/SVTERT24-B: 39.4;HUVEC TERT2: 33.7;TIME: 65.0;U-87 MG: 47.5	Breast
ARHGEF38	FLJ20184	ENSG00000236699	Rho guanine nucleotide exchange factor 38	4	105552620-105708093	Predicted intracellular proteins	Evidence at protein level	HPA036510, HPA045484	Uncertain	NA	Approved	Nucleoplasm<br>Centrosome	NA	Tissue enhanced	Tissue enhanced	NA	breast: 10.0;prostate: 9.3	epididymis: 6.8	Group enriched	8	RPTEC TERT1: 11.0;SK-BR-3: 6.0;T-47d: 7.9	Breast
ATP13A5	FLJ16025	ENSG00000187527	ATPase 13A5	3	193274790-193378843	Predicted membrane proteins	Evidence at transcript level	HPA031771, HPA031774	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 17.7	salivary gland: 3.9	Cell line enhanced	NA	SK-BR-3: 1.2	Breast
AWAT2	DGAT2L4, MFAT	ENSG00000147160	Acyl-CoA wax alcohol acyltransferase 2	X	70040542-70049938	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA062748	Approved	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	breast: 2.0;skin: 1.2	testis: 0.5	Not detected	NA	NA	Breast
AZGP1	ZA2G, ZAG	ENSG00000160862	Alpha-2-glycoprotein 1, zinc-binding	7	99966720-99976157	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA012582, CAB016087, CAB032276	Enhanced	NA	NA	NA	Renal cancer:1.53e-4 (favourable), Liver cancer:2.90e-4 (favourable)	Group enriched	Tissue enhanced	NA	breast: 1201.5;liver: 1272.1;prostate: 1490.2;salivary gland: 1423.5	kidney: 294.4	Cell line enhanced	NA	Hep G2: 33.7;RPMI-8226: 79.5;T-47d: 35.0	Breast
C1orf64	ERRF, MGC24047	ENSG00000183888	Chromosome 1 open reading frame 64	1	16004236-16008807	Predicted intracellular proteins	Evidence at transcript level	HPA026676	Uncertain	NA	Approved	Nucleoplasm	Endometrial cancer:1.68e-6 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 6.8	cervix, uterine: 3.3	Group enriched	9	Hep G2: 5.3;SK-BR-3: 10.1;T-47d: 4.1	Breast
C2orf82	ASCL830, UNQ830	ENSG00000182600	Chromosome 2 open reading frame 82	2	232857270-232878708	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA052824	Uncertain	NA	Approved	Nucleus<br>Nucleoli	Endometrial cancer:3.56e-4 (unfavourable)	Mixed	Tissue enhanced	NA	breast: 5.1;testis: 4.1	cerebral cortex: 2.6	Cell line enriched	13	Hep G2: 40.1	Breast
CCL28	CCK1, MEC, SCYA28	ENSG00000151882	C-C motif chemokine ligand 28	5	43376645-43412391	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA077434	Supported	NA	NA	NA	Pancreatic cancer:1.43e-4 (unfavourable)	Mixed	Tissue enhanced	NA	breast: 71.1;salivary gland: 126.0	thyroid gland: 38.0	Cell line enhanced	NA	EFO-21: 12.1;SiHa: 31.8;SK-MEL-30: 12.9;T-47d: 37.8	Breast
CLDN8	NA	ENSG00000156284	Claudin 8	21	30214006-30216073	Predicted membrane proteins, Transporters	Evidence at protein level	HPA060605	Supported	NA	NA	NA	Renal cancer:3.32e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 84.9;kidney: 76.1;rectum: 56.0	thyroid gland: 37.3	Cell line enriched	17	HaCaT: 30.1	Breast
CLEC3A	CLECSF1	ENSG00000166509	C-type lectin domain family 3 member A	16	78022515-78066761	Predicted secreted proteins	Evidence at protein level	HPA051511	Uncertain	NA	NA	NA	Breast cancer:1.61e-4 (unfavourable)	Tissue enriched	Tissue enhanced	NA	breast: 12.4;urinary bladder: 8.3	prostate: 3.3	Cell line enhanced	NA	MCF7: 2.5;SK-BR-3: 5.5;T-47d: 19.7	Breast
CMA1	NA	ENSG00000092009	Chymase 1	14	24505353-24508265	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000363, HPA052634	Enhanced	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 23.8	esophagus: 11.4	Not detected	NA	NA	Breast
CYP4Z1	CYP4A20	ENSG00000186160	Cytochrome P450 family 4 subfamily Z member 1	1	47067488-47118319	Enzymes, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	breast: 6.9	lung: 1.5	Group enriched	43	HDLM-2: 8.5;SK-BR-3: 2.8	Breast
DUSP4	HVH2, MKP-2, TYP	ENSG00000120875	Dual specificity phosphatase 4	8	29333064-29350668	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA061967	NA	NA	Supported	Nucleoplasm	Renal cancer:4.19e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 29.6	stomach: 28.2	Cell line enhanced	NA	A549: 90.3;SK-MEL-30: 120.4;WM-115: 120.9	Breast
EFHD1	FLJ13612	ENSG00000115468	EF-hand domain family member D1	2	232606057-232682781	Predicted intracellular proteins	Evidence at protein level	HPA049331, HPA056959	Enhanced	NA	Supported	Nucleoli fibrillar center<br>Golgi apparatus	Renal cancer:2.93e-7 (favourable)	Expressed in all	Tissue enhanced	NA	breast: 227.6	kidney: 177.3	Group enriched	7	BEWO: 121.1;RPTEC TERT1: 51.3;SK-BR-3: 225.6;T-47d: 222.0	Breast
ELF5	NA	ENSG00000135374	E74 like ETS transcription factor 5	11	34478793-34513805	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062706	NA	NA	Supported	Nucleoplasm	Lung cancer:3.64e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 172.6;salivary gland: 64.2	seminal vesicle: 42.2	Group enriched	10	RT4: 24.0;T-47d: 53.3	Breast
ELOVL3	CIG-30	ENSG00000119915	ELOVL fatty acid elongase 3	10	102226328-102229589	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA036236	Supported	NA	Approved	Vesicles<br>Cytosol	Endometrial cancer:6.25e-5 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	adipose tissue: 3.6;breast: 4.4;skin: 3.4	testis: 2.3	Cell line enhanced	NA	HSkMC: 10.4;SiHa: 24.5	Breast
FABP9	PERF, PERF15, T-FABP	ENSG00000205186	Fatty acid binding protein 9	8	81458341-81461579	Predicted intracellular proteins	Evidence at protein level	HPA073619	Approved	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	breast: 1.6	adipose tissue: 0.7	Not detected	NA	NA	Breast
FAM180B	LOC399888	ENSG00000196666	Family with sequence similarity 180 member B	11	47586693-47589194	Predicted intracellular proteins	Evidence at transcript level	HPA029408	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 6.9;skin: 4.4	adipose tissue: 4.1	Cell line enhanced	NA	SK-MEL-30: 1.8;U-937: 1.3	Breast
FAM196B	C5orf57	ENSG00000204767	Family with sequence similarity 196 member B	5	169864264-169980740	Predicted intracellular proteins	Evidence at transcript level	HPA047227	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 7.6;cerebral cortex: 7.0	ovary: 2.1	Cell line enhanced	NA	fHDF/TERT166: 30.1;HUVEC TERT2: 20.4;U-138 MG: 61.2	Breast
FOXI1	FKHL10, FREAC6	ENSG00000168269	Forkhead box I1	5	170105897-170109725	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA071469	Enhanced	NA	Uncertain	Nucleoli<br>Vesicles	NA	Group enriched	Tissue enhanced	NA	breast: 10.4;kidney: 20.0	salivary gland: 6.2	Cell line enhanced	NA	MCF7: 1.2	Breast
GJC3	CX30.2, GJE1	ENSG00000176402	Gap junction protein gamma 3	7	99923269-99929620	Predicted membrane proteins, Transporters	Evidence at protein level	HPA015024	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	breast: 8.7;prostate: 5.3	testis: 2.7	Cell line enhanced	NA	SK-MEL-30: 1.8;U-2197: 1.7	Breast
HIST1H2AE	H2A.1, H2A/a, H2AFA	ENSG00000277075	Histone cluster 1 H2A family member e	6	26216975-26217483	Predicted intracellular proteins	Evidence at protein level	CAB012242, HPA041189	Supported	NA	Supported	Nucleoplasm	NA	Expressed in all	Tissue enhanced	NA	breast: 54.1	prostate: 21.5	Cell line enhanced	NA	U-266/70: 28.2	Breast
HIST1H2BG	H2B.1A, H2B/a, H2BFA	ENSG00000273802	Histone cluster 1 H2B family member g	6	26215159-26216692	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA042205, HPA043013, HPA048671	Supported	NA	Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.70e-8 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 17.5;prostate: 11.3	bone marrow: 4.6	Cell line enhanced	NA	SiHa: 11.2;T-47d: 19.9;U-266/70: 15.0	Breast
HIST1H4H	H4/h, H4FH	ENSG00000158406	Histone cluster 1 H4 family member h	6	26277609-26285638	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA042201	Supported	NA	NA	NA	Renal cancer:6.18e-6 (unfavourable), Liver cancer:6.84e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 9.9	prostate: 6.3	Cell line enhanced	NA	U-266/84: 49.1	Breast
IL17B	IL-17B, IL-20, MGC138900, MGC138901, NIRF, ZCYTO7	ENSG00000127743	Interleukin 17B	5	149371324-149404202	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA042441	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 4.0	smooth muscle: 3.3	Cell line enhanced	NA	HEL: 1.2	Breast
IL22RA2	CRF2-S1, IL-22BP	ENSG00000164485	Interleukin 22 receptor subunit alpha 2	6	137143820-137173648	Predicted secreted proteins	Evidence at protein level	HPA030582, CAB034906	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 4.1;tonsil: 2.9	appendix: 1.9	Cell line enhanced	NA	U-937: 1.0	Breast
IRX1	IRX-5	ENSG00000170549	Iroquois homeobox 1	5	3596054-3601403	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043160	Uncertain	NA	Approved	Nucleoplasm<br>Golgi apparatus	NA	Group enriched	Tissue enhanced	NA	breast: 7.7;kidney: 5.3;salivary gland: 5.7	lung: 3.6	Cell line enhanced	NA	AF22: 9.8;REH: 38.0;U-251 MG: 13.8	Breast
IRX2	NA	ENSG00000170561	Iroquois homeobox 2	5	2745845-2751662	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050895, HPA054669	Approved	NA	Approved	Nucleus<br>Nucleoli	Pancreatic cancer:8.84e-4 (favourable)	Mixed	Tissue enhanced	NA	breast: 29.6;lung: 28.0	skin: 19.5	Cell line enhanced	NA	AF22: 100.0;BEWO: 58.5;hTCEpi: 47.9	Breast
IRX3	IRX-1	ENSG00000177508	Iroquois homeobox 3	16	54283304-54286763	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA062522	NA	NA	Approved	Vesicles	NA	Expressed in all	Tissue enhanced	NA	breast: 96.6	skin: 70.5	Cell line enhanced	NA	NB-4: 129.5;RPTEC TERT1: 178.7;T-47d: 115.6;THP-1: 136.2	Breast
IRX5	IRX-2a	ENSG00000176842	Iroquois homeobox 5	16	54930862-54934485	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047130	NA	NA	Approved	Nuclear speckles<br>Microtubules<br>Cytosol	Lung cancer:4.59e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 17.9;lung: 9.6;skin: 10.1	salivary gland: 4.6	Cell line enhanced	NA	RPTEC TERT1: 20.1;T-47d: 34.4	Breast
KIT	C-Kit, CD117, PBT, SCFR	ENSG00000157404	KIT proto-oncogene receptor tyrosine kinase	4	54657918-54740715	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	CAB003288, HPA004471, CAB068253, CAB072867, HPA073252	Enhanced	Supported	Supported	Plasma membrane	Renal cancer:5.63e-4 (favourable)	Mixed	Tissue enhanced	NA	breast: 133.6	thyroid gland: 78.7	Group enriched	14	HEL: 220.1;HMC-1: 434.1	Breast
KRT17	PCHC1	ENSG00000128422	Keratin 17	17	41619437-41624842	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000029, HPA000452, HPA000453, HPA000539, HPA045062	Enhanced	NA	Enhanced	Intermediate filaments	Breast cancer:4.44e-4 (favourable), Renal cancer:5.74e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 222.3;seminal vesicle: 226.0;urinary bladder: 322.8	prostate: 115.6	Group enriched	6	hTCEpi: 14378.7;SiHa: 8960.6	Breast
KRT27	KRT25C	ENSG00000171446	Keratin 27	17	40776808-40782534	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA055114	Supported	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 1.3	skin,testis: 0.4	Cell line enhanced	NA	EFO-21: 1.3	Breast
KRT28	KRT25D	ENSG00000173908	Keratin 28	17	40792203-40799959	Predicted intracellular proteins	Evidence at protein level	HPA066890	Supported	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 1.0	testis: 0.4	Not detected	NA	NA	Breast
KRT81	Hb-1, KRTHB1	ENSG00000205426	Keratin 81	12	52285913-52291534	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049778	Supported	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 3.8	placenta: 1.5	Cell line enhanced	NA	A-431: 2684.9;A549: 2072.1;PC-3: 1009.2;U-251 MG: 1766.1	Breast
LGALS7B	GAL7	ENSG00000178934	Galectin 7B	19	38789211-38791749	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001549, CAB025100	Supported	NA	NA	NA	Endometrial cancer:1.59e-4 (unfavourable)	Group enriched	Tissue enhanced	NA	breast: 10.4;esophagus: 19.3	skeletal muscle: 3.8	Cell line enriched	21	HaCaT: 3.7	Breast
LMX1B	NPS1	ENSG00000136944	LIM homeobox transcription factor 1 beta	9	126614443-126701032	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA073716	NA	NA	Approved	Nucleus	NA	Tissue enriched	Tissue enhanced	NA	breast: 5.8;salivary gland: 11.2	testis: 2.2	Cell line enhanced	NA	MCF7: 13.7;T-47d: 10.1	Breast
MAB21L1	CAGR1	ENSG00000180660	Mab-21 like 1	13	35474182-35477209	Predicted intracellular proteins	Evidence at protein level	HPA049324, HPA059864	NA	NA	Enhanced	Nucleus<br>Cytosol	NA	Mixed	Tissue enhanced	NA	adrenal gland: 5.5;breast: 5.2	adipose tissue: 2.4	Cell line enhanced	NA	BJ: 29.7;BJ hTERT+ SV40 Large T+: 36.9;HBF TERT88: 41.4;SH-SY5Y: 135.2	Breast
MAP1LC3C	ATG8J	ENSG00000197769	Microtubule associated protein 1 light chain 3 gamma	1	241995490-241999073	Predicted intracellular proteins	Evidence at protein level	HPA072670	NA	NA	Supported	Cytoplasmic bodies	Endometrial cancer:1.34e-7 (unfavourable)	Mixed	Tissue enhanced	NA	breast: 12.7;placenta: 16.1	lung: 8.1	Cell line enhanced	NA	AF22: 6.0;ASC TERT1: 3.9;BEWO: 3.7;EFO-21: 3.2	Breast
MATN4	NA	ENSG00000124159	Matrilin 4	20	45293445-45308529	Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 3.0;pancreas: 5.9;skin: 3.5	cervix, uterine: 1.4	Cell line enhanced	NA	NB-4: 1.7;U-937: 1.0	Breast
MGP	NA	ENSG00000111341	Matrix Gla protein	12	14881181-14885926	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA013949	Approved	NA	NA	NA	Renal cancer:4.15e-6 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 4883.1	smooth muscle: 1900.4	Cell line enriched	5	AN3-CA: 9115.9	Breast
MIA	CD-RAP	ENSG00000261857	Melanoma inhibitory activity	19	40771648-40777490	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA031950, HPA042369	Supported	Supported	NA	NA	Breast cancer:2.08e-4 (favourable)	Tissue enriched	Tissue enhanced	NA	breast: 62.9;stomach: 50.0	salivary gland: 18.4	Group enriched	41	AN3-CA: 79.3;CAPAN-2: 63.4;SK-MEL-30: 198.0;WM-115: 233.6	Breast
MRGPRX2	MRGX2	ENSG00000183695	MAS related GPR family member X2	11	19054455-19060681	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA055220	Approved	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	breast: 1.2;skin: 1.2	cervix, uterine: 0.6	Not detected	NA	NA	Breast
MS4A18	NA	ENSG00000214782	Membrane spanning 4-domains A18	11	60729304-60744212	Predicted membrane proteins	Evidence at transcript level	HPA045121	Approved	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	breast: 10.3;duodenum: 23.9	small intestine: 4.0	Not detected	NA	NA	Breast
MYB	c-myb	ENSG00000118513	MYB proto-oncogene, transcription factor	6	135181315-135219173	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB017704	Approved	NA	Approved	Nucleus<br>Plasma membrane	Prostate cancer:9.65e-4 (favourable), Stomach cancer:9.87e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 26.3;rectum: 29.1	colon: 25.2	Cell line enhanced	NA	HL-60: 173.9;MOLT-4: 321.7;REH: 222.8;THP-1: 230.7;U-937: 145.8	Breast
NPY2R	NA	ENSG00000185149	Neuropeptide Y receptor Y2	4	155208629-155217078	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 1.0;cerebral cortex: 1.7;testis: 1.0	rectum: 0.6	Cell line enriched	6	SH-SY5Y: 8.0	Breast
NQO1	DHQU, DIA4, DTD, NMOR1, QR1	ENSG00000181019	NAD(P)H quinone dehydrogenase 1	16	69706996-69726951	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA007308, CAB012421	Enhanced	NA	Enhanced	Cytosol	Head and neck cancer:1.45e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	breast: 379.3;stomach: 556.0	gallbladder: 320.2	Expressed in all	NA	NA	Breast
OBP2B	hOBPIIb, LCN14	ENSG00000171102	Odorant binding protein 2B	9	133205277-133209250	Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	breast: 1.8;testis: 6.8	fallopian tube: 1.4	Not detected	NA	NA	Breast
OXGR1	aKGR, GPR80, GPR99, P2RY15, P2Y15	ENSG00000165621	Oxoglutarate receptor 1	13	96985719-96994730	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA067673	NA	NA	Supported	Plasma membrane	NA	Mixed	Tissue enhanced	NA	breast: 5.1	kidney: 4.6	Cell line enhanced	NA	RT4: 2.6;SK-BR-3: 1.1;U-2 OS: 1.7	Breast
PNLIPRP3	NA	ENSG00000203837	Pancreatic lipase related protein 3	10	116427867-116477957	Enzymes, Predicted secreted proteins	Evidence at transcript level	HPA046202, HPA052009	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	breast: 12.0;skin: 5.4	esophagus: 1.8	Cell line enriched	14	hTCEpi: 233.8	Breast
PRSS51	NA	ENSG00000253649	Protease, serine 51	8	10482878-10547585	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 1.0;testis: 1.1	cerebral cortex: 0.5	Cell line enhanced	NA	U-2 OS: 1.4	Breast
PTHLH	HHM, PLP, PTHR, PTHRP	ENSG00000087494	Parathyroid hormone like hormone	12	27958084-27972705	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA035982	Approved	Approved	Supported	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Renal cancer:1.82e-9 (unfavourable), Liver cancer:3.37e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	breast: 23.9	esophagus: 18.0	Group enriched	7	HaCaT: 256.2;HBEC3-KT: 257.7;U-251 MG: 64.3	Breast
SFRP1	FRP, FRP-1, SARP2	ENSG00000104332	Secreted frizzled related protein 1	8	41261958-41309497	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB008116, HPA064870	Approved	NA	Approved	Nucleoli<br>Cytosol	Head and neck cancer:1.55e-4 (favourable), Urothelial cancer:3.12e-4 (unfavourable)	Mixed	Tissue enhanced	NA	breast: 357.2;cervix, uterine: 325.0	endometrium: 231.0	Cell line enhanced	NA	BJ hTERT+: 563.8;HBF TERT88: 268.7;RPTEC TERT1: 319.1;WM-115: 275.2	Breast
SHISA2	bA398O19.2, C13orf13, hShisa, PRO28631, TMEM46, WGAR9166	ENSG00000180730	Shisa family member 2	13	26044597-26051031	Predicted membrane proteins	Evidence at protein level	HPA049752, HPA050172	Uncertain	NA	Approved	Nucleoplasm<br>Nuclear bodies<br>Vesicles	Renal cancer:2.43e-4 (favourable), Lung cancer:3.30e-4 (favourable)	Mixed	Tissue enhanced	NA	breast: 22.3;thyroid gland: 48.3	epididymis: 13.1	Cell line enhanced	NA	LHCN-M2: 21.2;NTERA-2: 18.4;RH-30: 56.6;U-2197: 34.1	Breast
